name,year,count
Aaliyah,1976,18
Aaliyah,1977,40
Aaliyah,1978,46
Aaliyah,1979,38
Aaliyah,1980,39
Aaliyah,1981,28
Aaliyah,1982,28
Aaliyah,1983,20
Aaliyah,1984,21
Aaliyah,1985,10
Aaliyah,1986,18
Aaliyah,1987,14
Aaliyah,1988,17
Aaliyah,1989,14
Aaliyah,1990,12
Aaliyah,1991,15
Aaliyah,1992,25
Aaliyah,1993,22
Aaliyah,1994,1457
Aaliyah,1995,1256
Aaliyah,1996,831
Aaliyah,1997,1739
Aaliyah,1998,1404
Aaliyah,1999,1088
Aaliyah,2000,1496
Aaliyah,2001,3360
Aaliyah,2002,4787
Aaliyah,2003,3679
Aaliyah,2004,3503
Aaliyah,2005,3469
Aaliyah,2006,3745
Aaliyah,2007,3960
Aaliyah,2008,4044
Aaliyah,2009,4377
Aaliyah,2010,4678
Aaliyah,2011,5127
Aaliyah,2012,5527
Aaliyah,2013,5255
Aaliyah,2014,4902
Aaliyah,2015,4883
Aaliyah,2016,4655
Aaliyah,2017,4196
Aaliyah,2018,3841
Aaliyah,2019,3669
Aaliyah,2020,3576
Aaliyah,2021,3608
Aaliyah,2022,3280
Aaliyah,2023,2850
Aaron,1924,682
Aaron,1925,655
Aaron,1926,601
Aaron,1927,552
Aaron,1928,561
Aaron,1929,475
Aaron,1930,505
Aaron,1931,466
Aaron,1932,514
Aaron,1933,464
Aaron,1934,477
Aaron,1935,465
Aaron,1936,443
Aaron,1937,470
Aaron,1938,482
Aaron,1939,471
Aaron,1940,514
Aaron,1941,562
Aaron,1942,575
Aaron,1943,559
Aaron,1944,513
Aaron,1945,484
Aaron,1946,578
Aaron,1947,689
Aaron,1948,709
Aaron,1949,801
Aaron,1950,805
Aaron,1951,876
Aaron,1952,945
Aaron,1953,908
Aaron,1954,979
Aaron,1955,1110
Aaron,1956,1291
Aaron,1957,1359
Aaron,1958,1403
Aaron,1959,1554
Aaron,1960,1790
Aaron,1961,1896
Aaron,1962,2022
Aaron,1963,2092
Aaron,1964,2409
Aaron,1965,2440
Aaron,1966,2617
Aaron,1967,2931
Aaron,1968,3449
Aaron,1969,4641
Aaron,1970,6652
Aaron,1971,8472
Aaron,1972,7923
Aaron,1973,9306
Aaron,1974,10597
Aaron,1975,10671
Aaron,1976,11498
Aaron,1977,11777
Aaron,1978,12455
Aaron,1979,13218
Aaron,1980,13342
Aaron,1981,14846
Aaron,1982,14558
Aaron,1983,14632
Aaron,1984,13539
Aaron,1985,13278
Aaron,1986,12824
Aaron,1987,12827
Aaron,1988,14537
Aaron,1989,15411
Aaron,1990,14638
Aaron,1991,14343
Aaron,1992,14600
Aaron,1993,13944
Aaron,1994,14491
Aaron,1995,13376
Aaron,1996,12051
Aaron,1997,11238
Aaron,1998,10610
Aaron,1999,9909
Aaron,2000,9596
Aaron,2001,9587
Aaron,2002,9050
Aaron,2003,8912
Aaron,2004,8454
Aaron,2005,7834
Aaron,2006,8330
Aaron,2007,8968
Aaron,2008,8574
Aaron,2009,8011
Aaron,2010,7488
Aaron,2011,7643
Aaron,2012,7562
Aaron,2013,7329
Aaron,2014,7433
Aaron,2015,7193
Aaron,2016,7195
Aaron,2017,7234
Aaron,2018,6006
Aaron,2019,5561
Aaron,2020,5103
Aaron,2021,4864
Aaron,2022,4528
Aaron,2023,4556
Abbey,1932,5
Abbey,1938,5
Abbey,1939,7
Abbey,1940,5
Abbey,1942,9
Abbey,1943,7
Abbey,1944,8
Abbey,1945,8
Abbey,1946,13
Abbey,1947,5
Abbey,1948,8
Abbey,1949,8
Abbey,1950,7
Abbey,1951,23
Abbey,1952,15
Abbey,1953,11
Abbey,1954,12
Abbey,1955,24
Abbey,1956,11
Abbey,1957,22
Abbey,1958,18
Abbey,1959,22
Abbey,1960,20
Abbey,1961,20
Abbey,1962,17
Abbey,1963,14
Abbey,1964,14
Abbey,1965,19
Abbey,1966,19
Abbey,1967,18
Abbey,1968,16
Abbey,1969,31
Abbey,1970,33
Abbey,1971,47
Abbey,1972,33
Abbey,1973,56
Abbey,1974,62
Abbey,1975,60
Abbey,1976,57
Abbey,1977,81
Abbey,1978,176
Abbey,1979,255
Abbey,1980,273
Abbey,1981,383
Abbey,1982,370
Abbey,1983,420
Abbey,1984,357
Abbey,1985,314
Abbey,1986,370
Abbey,1987,327
Abbey,1988,404
Abbey,1989,470
Abbey,1990,507
Abbey,1991,451
Abbey,1992,430
Abbey,1993,503
Abbey,1994,597
Abbey,1995,551
Abbey,1996,552
Abbey,1997,646
Abbey,1998,662
Abbey,1999,716
Abbey,2000,660
Abbey,2001,688
Abbey,2002,600
Abbey,2003,625
Abbey,2004,511
Abbey,2005,453
Abbey,2006,404
Abbey,2007,349
Abbey,2008,344
Abbey,2009,307
Abbey,2010,299
Abbey,2011,290
Abbey,2012,253
Abbey,2013,222
Abbey,2014,157
Abbey,2015,163
Abbey,2016,139
Abbey,2017,95
Abbey,2018,65
Abbey,2019,81
Abbey,2020,75
Abbey,2021,44
Abbey,2022,36
Abbey,2023,19
Abbie,1924,97
Abbie,1925,133
Abbie,1926,114
Abbie,1927,110
Abbie,1928,105
Abbie,1929,87
Abbie,1930,92
Abbie,1931,76
Abbie,1932,64
Abbie,1933,69
Abbie,1934,66
Abbie,1935,71
Abbie,1936,53
Abbie,1937,65
Abbie,1938,56
Abbie,1939,75
Abbie,1940,63
Abbie,1941,56
Abbie,1942,72
Abbie,1943,57
Abbie,1944,49
Abbie,1945,51
Abbie,1946,55
Abbie,1947,56
Abbie,1948,55
Abbie,1949,40
Abbie,1950,68
Abbie,1951,62
Abbie,1952,80
Abbie,1953,81
